label
2
2
2
1
1
22
15
15
16
29
28
25
22
15
15
16
29
29
16
15
21
21
29
29
28
28
28
25
29
11
1
1
29
14
13
13
29
28
20
20
3
3
3
26
26
16
16
26
22
26
22
16
26
26
22
22
22
29
22
22
22
26
26
26
26
26
1
1
2
29
29
21
11
11
9
3
29
2
13
13
13
29
20
9
9
29
11
21
29
22
22
16
22
29
3
2
2
13
1
11
11
18
29
20
22
22
22
20
22
22
16
26
21
29
14
14
15
15
15
14
3
3
3
14
29
14
14
15
20
9
15
1
17
29
29
21
20
22
22
22
22
22
22
15
22
9
3
13
28
28
28
28
29
11
14
14
14
15
15
15
15
15
1
15
15
15
15
15
15
15
15
15
15
1
2
15
15
15
2
15
2
2
29
17
17
22
2
21
15
2
29
29
18
29
15
17
17
17
17
17
17
17
16
16
16
16
14
2
2
13
15
20
28
1
1
2
29
15
15
17
2
10
10
10
1
29
1
1
1
1
1
2
2
21
11
29
15
15
15
15
15
15
6
1
2
10
2
1
16
15
16
9
28
20
17
10
18
18
29
29
2
3
3
3
3
3
3
3
3
2
2
29
15
13
1
2
2
2
2
2
2
2
1
2
2
2
2
2
1
22
16
16
1
14
1
1
29
11
11
29
11
15
1
1
1
14
13
28
28
28
20
1
1
2
2
1
14
3
20
20
20
2
16
16
16
22
16
22
22
22
22
16
16
29
16
16
13
28
28
28
28
28
28
20
20
20
20
20
3
15
15
14
14
10
10
14
29
1
1
1
1
22
22
22
14
22
11
11
9
10
14
4
16
21
16
16
21
21
21
21
29
26
26
16
16
21
25
1
29
20
20
1
1
1
1
3
14
9
11
11
10
10
1
10
1
1
1
1
10
9
1
1
13
16
14
29
11
28
1
10
14
13
20
20
18
16
16
16
21
21
28
29
3
15
2
2
2
29
29
20
29
1
2
2
9
3
18
11
11
11
11
11
11
11
11
11
11
11
11
10
10
10
18
18
10
18
18
2
2
2
2
2
1
6
1
1
6
1
1
1
1
1
1
1
1
1
2
29
3
2
22
22
14
9
3
3
2
15
15
29
18
18
18
10
29
29
10
10
6
17
14
16
22
11
11
10
3
2
2
1
1
1
29
29
11
14
29
29
1
1
11
11
1
11
29
29
29
18
18
18
18
18
2
2
2
2
26
1
1
1
21
21
2
1
1
28
28
25
25
3
3
18
18
1
22
15
16
16
9
14
9
9
15
28
1
16
22
22
16
16
16
16
16
16
16
16
29
29
29
9
3
1
1
3
29
3
3
1
1
3
1
1
10
1
2
1
29
14
16
22
22
22
14
14
17
22
11
11
3
29
3
3
29
3
3
29
2
2
2
13
26
16
16
16
16
26
15
16
15
11
11
10
29
