"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
-2.94813331196007,-0.331462120110068,-15.290717236049,-278.234906970618,-19.6688645337772,-49.0979891707238,-188.599126978595,-199.918302410249,-46.7205142929178,-50.643820774983,-46.1766024087205,-30.6769797127754,-511.280268261675,-5.1033636307325,-16.826696587532,-42.6683297406259,-50.7507980193528,-189.078429669658,-152.59602250267,-723.011513269613,-575.866163165912,-213.893788791983,-87.8557888403611,-84.2564278047727,-731.774645909854,-47.1447281176697,-731.774645909854,-731.774645909854,-1.49784019944042
-5.53099269257867,-0.136895009605794,-55.4898039749839,-469.883804476089,-731.774645909854,-102.461486354168,-132.720691449679,-274.116642871492,-102.496896646519,-102.082307797613,-100.851109663905,-74.6476741054652,-198.912140549614,-21.8544404482181,-21.2933996018923,-24.3627262407721,-62.0919452795071,-238.461768684452,-240.003641892268,-369.996016232921,-332.968168102985,-124.236777746302,-63.6320492701831,-47.5118684150086,-731.774645909854,-22.5354089965078,-731.774645909854,-731.774645909854,-2.0876659459511
-5.11492391368026,-0.120879362628978,-59.8856843769196,-473.849183470799,-731.774645909854,-102.330039499001,-121.682866857571,-272.666824605464,-106.891422093091,-106.511486518227,-105.751079826263,-77.2710975901304,-167.248121241017,-23.7018386715337,-24.4674815349848,-27.0712086950938,-64.079744453862,-236.713347573885,-245.640056084543,-362.029272757007,-333.684973275313,-126.400446131287,-68.1524782628933,-49.9436444274115,-731.774645909854,-23.4123223443261,-731.774645909854,-731.774645909854,-2.22698877727237
-0.415171303423837,-7.83225403591323,-1.96303831389322,-52.7423967657109,-3.31761690424056,-2.79409064046638,-120.69859501679,-70.4775378648106,-8.07109228942282,-11.9794767061619,-14.1101575252118,-36.9866025690736,-695.896076453163,-34.573054226259,-66.9512591897761,-185.877876947025,-98.7224283668098,-86.4227944463893,-84.0031774428191,-731.774645909854,-731.774645909854,-508.392513315918,-208.876896727442,-204.967790602708,-731.774645909854,-144.545758210395,-731.774645909854,-731.774645909854,-2.29049866676692
-0.545902583544308,-31.863546951511,-2.15362841216051,-34.1677622014099,-731.774645909854,-2.26597321483028,-270.333266055166,-57.076643257545,-2.40485999228768,-6.56020626780459,-3.97226240051887,-34.3804422686742,-731.774645909854,-43.6955182994685,-71.4899159176818,-270.014809003649,-111.808689540399,-55.3234583488138,-44.0732204698731,-731.774645909854,-731.774645909854,-663.349112340449,-280.723837305229,-290.23908619122,-731.774645909854,-200.069036875631,-731.774645909854,-731.774645909854,-2.40389249855384
-318.522401006952,-91.9071383294609,-309.786635042934,-731.774645909854,-731.774645909854,-731.774645909854,-731.774645909854,-731.774645909854,-306.508946295621,-357.91324953312,-332.834220832456,-509.81504467802,-731.774645909854,-72.0020896119786,-16.8730348395542,-7.60772706683559,-24.3871070937951,-731.774645909854,-563.281174844247,-243.181680281035,-39.0069985578211,-0.48673970191234,-9.66285006809651,-32.372212424162,-731.774645909854,-2.04750354579489,-731.774645909854,-731.774645909854,-1.36353115423597
-82.8865014852209,-27.836719380161,-61.7725353638767,-731.774645909854,-731.774645909854,-302.290530219775,-731.774645909854,-626.161496683508,-83.2279056176567,-181.139061423551,-138.554978260441,-100.201926986509,-731.774645909854,-3.01212139586582,-0.314884497841875,-2.97210431038556,-4.11970256416599,-359.581592860403,-225.683236536301,-585.29131899176,-303.67575692482,-41.6917984169444,-66.4577878780114,-95.2352742703458,-731.774645909854,-5.60893549854385,-731.774645909854,-731.774645909854,-1.8982551290556
-81.2699275156171,-27.2735383315181,-59.880133432235,-731.774645909854,-731.774645909854,-288.142135294202,-731.774645909854,-605.003270353575,-82.4757211073129,-170.544034636744,-131.37238936283,-98.6515457220234,-731.774645909854,-3.0896522800228,-0.296980689844213,-2.88117525315294,-5.67964439949484,-354.168528777384,-225.707253313585,-557.459059147636,-290.457969326564,-42.7356059519746,-58.8479601762762,-84.1142850385587,-731.774645909854,-6.61629435026101,-731.774645909854,-731.774645909854,-1.89311549877736
-120.70812232487,-18.9048203727242,-120.338152969131,-731.774645909854,-731.774645909854,-405.789368036352,-731.774645909854,-719.750648354649,-143.165419601395,-209.067446945929,-178.436596869486,-198.310621568908,-731.774645909854,-12.1979844947727,-4.11003734153507,-0.160922651539026,-5.32137414537509,-465.814909435478,-323.117428238219,-303.136823106814,-132.311471552633,-5.62296445406022,-21.2423585305109,-41.4307412131922,-731.774645909854,-5.14711325869982,-731.774645909854,-731.774645909854,-2.13780182187609
-13.9471752853499,-8.67997859075766,-258.141193154705,-731.774645909854,-731.774645909854,-227.493822885693,-406.545580029229,-584.121634788457,-420.830204554279,-410.070719095674,-393.675261871186,-229.431711354833,-15.4120025657173,-140.773301431649,-174.123782733101,-111.667827038347,-150.034566614687,-437.68855072691,-516.107018218398,-119.689226546235,-246.03983268872,-132.431528305464,-269.499235743837,-225.141752479193,-266.959511485756,-49.2659493164052,-95.4091306652815,-23.8441585382636,-0.000171048619130936
